%# net.balmeyer.qno.dico.DictionaryCSV					
texte	type	groupe	pluriel	feminin	femininpluriel
chatelet	nm				
chat-huant	nm				
chatier	v				
chatière	nf				
chatiment	nm				
chatoiement	nm				
chaton	nm				
chatouillement	nm				
chatouiller	v				
chatouilleux	adj				
chatoyant	adj				
chatoyer	vi				
chatrer	v				
chatte	nf				
chatterie	nf				
chaud	nm				
chaudement	adj				
chaud-froid	nm				
chaudière	nf				
chaudron	nm				
chaudronnée	nf				
chaudronnerie	nf				
chaudronnier	nm				
chauffage	nm				
chauffant	adj				
chauffard	nm				
chauffe-	null				
chauffe-assiette(s)	nm				
chauffe-bain	nm				
chauffe-eau	nm				
chauffe-pieds	nm				
chauffe-plats	nm				
chauffer	v				
chaufferette	nf				
chaufferie	nf				
chauffeur	nm				
chauffeuse	nf				
chauler	v				
chaumage	nm				
chaume	nm				
chaumer	v				
chaumière	nf				
chaumine	nf				
chaussée	nf				
chausse-pied	nm				
chausser	v				
chausse-trape	nf				
chaussette	nf				
chausseur	nm				
chausson	nm				
chaussure	nf				
chauve	nm				
chauve-souris	nf				
chauvin	nm				
chauvinisme	nm				
chaux	nf				
chavirer	v				
ch. de f.	null				
check-list	nf				
check-up	nm				
cheddar	nm				
chef	nm				
chef-d'oeuvre	nm				
chefferie	nf				
cheftaine	nf				
cheikh	nm				
chelem	nm				
chemin	nm				
chemin de fer	nm				
cheminée	nf				
cheminot	nm				
chemise	nf				
chemiserie	nf				
chemisette	nf				
chemisier	nm				
chenaie	nf				
chenal	nm				
chenapan	nm				
chene	nm				
chene-liège	nm				
chenet	nm				
chenil	nm				
chenille	nf				
chenu	adj				
cheptel	nm				
cheque	nm				
chequier	nm				
cher	adj				
chercher	v				
chercheur	nm				
chercheur	adj				
chere	nf				
cherté	nf				
cherubin	nm				
chetif	adj				
chetivement	adj				
cheval	nm				
chevaleresque	adj				
chevalerie	nf				
chevalet	nm				
chevalier	nm				
chevalière	nf				
chevalin	adj				
cheval-vapeur	nm				
chevauchée	nf				
chevauchement	nm				
chevaucher	v				
chevelu	adj				
chevelure	nf				
chevet	nm				
cheveu	nm				
cheville	nf				
cheviller	v				
chevillette	nf				
chevre	nm				
chevreau	nm				
chevrefeuille	nm				
chevreter	vi				
chevrette	nf				
chevreuil	nm				
chevron	nm				
chevronné	adj				
chevroter	vi				
chevrotin	nm				
chevrotine	nf				
chewing-gum	nm				
chez	null				
chez-moi	nm				
chialer	vi				
chiant	adj				
chianti	nm				
chic	nm				
chicane	nf				
chicaner	v				
chiche	adj				
chichement	adj				
chichi	nm				
chichiteux	adj				
chicorée	nf				
chien	nm				
chiendent	nm				
chien-loup	nm				
chiffe	nf				
chiffon	nm				
chiffonnement	nm				
chiffonner	v				
chiffonnier	nm				
chiffrable	adj				
chiffrage	nm				
chiffre	nm				
chiffre d'affaires	nm				
chiffrer	v				
chiffrier	nm				
chignole	nf				
chignon	nm				
chihuahua	nm				
chilien	nm				
chimère	nf				
chimérique	adj				
chimie	nf				
chimiothérapie	nf				
chimique	adj				
chimiquement	adj				
chimiste	nm				
chimpanzé	nm				
chinchilla	nm				
chiné	nm				
chiner	v				
chineur	nm				
chinois	nm				
chinoiserie	nf				
chintz	nm				
chiot	nm				
chiper	v				
chipie	nf				
chipolata	nf				
chipoter	vi				
chips	nf				
chique	nf				
chiqué	nm				
chiquenaude	nf				
chiquer	v				
chiqueur	nm				
chir(o)-	null				
chirographaire	adj				
chiromancie	nf				
chiromancien	nm				
chiropractie	null				
chiropraticien	nm				
chirurgical	adj				
chirurgie	nf				
chirurgien	nm				
chiure	nf				
chlamydia	nf				
chlorate	nm				
chloration	nf				
chlore	nm				
chlorhydrique	adj				
chloroforme	nm				
chloroformer	v				
chlorophylle	nf				
chlorure	nm				
chlorure de polyvinyle	nm				
-choc	null				
choc	nm				
chocolat	nm				
chocolaté	adj				
chocolaterie	nf				
chocolatier	nm				
choeur	nm				
choir	vi				
choix	nm				
choléra	nm				
cholestérol	nm				
chomage	nm				
chomer	vi				
chomeur	nm				
chope	nf				
choquant	adj				
choquer	v				
choral	nm				
chorale	nf				
chorégraphe	nm				
chorégraphie	nf				
choriste	nm				
chorizo	nm				
chorus	nm				
chose	nf				
chou	nm				
chou	nm				
choucas	nm				
chouchou	nm				
chouchouter	v				
choucroute	nf				
chouette	nf				
chou-fleur	nm				
chou-navet	nm				
chou-rave	nm				
chow-chow	nm				
choyer	v				
chretien	nm				
chretienté	nf				
christ	nm				
christianiser	v				
christianisme	nm				
chroma-	null				
chromage	nm				
chromatique	adj				
chromatographie	nf				
-chrome	null				
chrome	nm				
chromer	v				
chromo	nm				
chromolithographie	nf				
chromosome	nm				
chromosomique	adj				
-chrone	null				
chronique	nf				
chroniquement	adj				
chroniqueur	nm				
chrono	nm				
chron(o)-	null				
chronologie	nf				
chronologique	adj				
chronologiquement	adj				
chronométrage	nm				
chronomètre	nm				
chronométrer	v				
chronométreur	nm				
chrysalide	nf				
chrysanthème	nm				
C.H.U.	null				
chuchotement	nm				
chuchoter	v				
chuchoterie	nf				
chuchotis	nm				
chuintant	nf				
chuintement	nm				
chuinter	vi				
chut!	nm				
chute	nf				
chuter	vi				
chypriote	null				
ci	adj				
ci	null				
CIA	null				
ci-annexé	adj				
ciao!	null				
ci-après	adj				
cible	nf				
cibler	v				
ciboire	nm				
ciboulette	nf				
cicatrice	nf				
cicatriciel	adj				
cicatrisant	nm				
cicatrisation	nf				
cicatriser	v				
cicerone	nm				
ci-contre	adj				
ci-dessous	adj				
ci-dessus	adj				
cidre	nm				
cidrerie	nf				
Cie	null				
ciel	nm				
cierge	nm				
cigale	nf				
cigare	nm				
cigarette	nf				
cigarillo	nm				
ci-gît	adj				
cigogne	nf				
cigogneau	nm				
ciguë	nf				
ci-inclus	adj				
ci-joint	adj				
cil	nm				
cilice	nm				
cilié	adj				
cillement	nm				
ciller	v				
cimaise	nf				
cime	nf				
ciment	nm				
cimenter	v				
cimenterie	nf				
cimeterre	nm				
cimetière	nm				
cine	nm				
cineaste	nm				
cine-club	nm				
cinema	nm				
cinemathèque	nf				
cinematique	nf				
cine-parc	nm				
cinephile	nm				
cineraire	nf				
cineroman	nm				
cinetique	nf				
cinghalais	nm				
cinglant	adj				
cinglé	nm				
cingler	v				
cinq	nm				
cinquantaine	nf				
cinquante	nm				
cinquantenaire	nm				
cinquantième	nm				
cinquième	nm				
cinquièmement	adj				
cintrage	nm				
cintre	nm				
cintrer	v				
cirage	nm				
circom-	null				
circoncire	v				
circoncision	nf				
circonférence	nf				
circonflexe	adj				
circonlocution	nf				
circonscription	nf				
circonscrire	v				
circonspect	adj				
circonspection	nf				
circonstance	nf				
circonstancié	adj				
circonstanciel	adj				
circonvenir	v				
circonvolution	nf				
circuit	nm				
circulaire	nf				
circulairement	adj				
circulation	nf				
circulatoire	adj				
circuler	vi				
cire	nf				
cire	nm				
cirer	v				
cireur	nm				
cirque	nm				
cirrhose	nf				
cirrocumulus	nm				
cirrostratus	nm				
cirrus	nm				
cisaille	nf				
cisaillement	nm				
cisailler	v				
ciseau	nm				
ciseler	v				
ciselure	nf				
citadelle	nf				
citadin	nm				
citation	nf				
cite	nf				
citer	v				
citerne	nf				
cithare	nf				
citizen band	nf				
citoyen	nm				
citoyenneté	nf				
citrin	adj				
citrique	adj				
citron	nm				
citronnade	nf				
citronné	adj				
citronnelle	nf				
citronnier	nm				
citrouille	nf				
civet	nm				
civière	nf				
civil	nm				
civilement	adj				
civilisateur	nm				
civilisation	nf				
civilisé	nm				
civiliser	v				
civiliste	nm				
civilité	nf				
civique	adj				
civisme	nm				
cl	null				
Cl	null				
clac !	null				
clafoutis	nm				
claie	nf				
clair	nm				
claire	nf				
clairement	adj				
clairet	nm				
claire-voie	nf				
clairière	nf				
clair-obscur	nm				
clairon	nm				
claironnant	adj				
claironner	v				
clairsemé	adj				
clairvoyance	nf				
clairvoyant	adj				
clamer	vi				
clameur	nf				
clan	nm				
clandestin	nm				
clandestinité	nf				
C (langage)	null				
clapet	nm				
clapier	nm				
clapotement	nm				
clapoter	vi				
clapotis	nm				
clappement	nm				
claquage	nm				
claque	nf				
claquement	nm				
claquemurer	v				
claquer	v				
claquette	nf				
clarification	nf				
clarifier	v				
clarinette	nf				
clarinettiste	nm				
clarté	nf				
classe	nf				
classe de neige	nf				
classement	nm				
classer	v				
classeur	nm				
classe verte	nf				
classicisme	nm				
classification	nf				
classifier	v				
classique	nm				
claudicant	adj				
claudication	nf				
claudiquer	vi				
clause	nf				
claustral	adj				
claustration	nf				
claustrer	v				
claustrophobe	nm				
claustrophobie	nf				
clavecin	nm				
claveciniste	nm				
clavette	nf				
clavicule	nf				
clavier	nm				
clef	nf				
clematite	nf				
clemence	nf				
clement	adj				
clementine	nf				
clepsydre	nf				
cleptomane	null				
cleptomanie	null				
clerc	nm				
clergé	nm				
clerical	adj				
clericature	nf				
clic !	null				
cliché	nm				
client	nm				
clientèle	nf				
clignement	nm				
cligner	v				
clignotant	nm				
clignotement	nm				
clignoter	vi				
climat	nm				
climatique	adj				
climatisation	nf				
climatisé	adj				
climatiser	v				
climatiseur	nm				
climatologie	nf				
climatologique	adj				
clin d'oeil	nm				
clinicien	nm				
clinique	nf				
cliniquement	adj				
clinquant	nm				
clip	nm				
clique	nf				
cliques	nf				
cliqueter	vi				
cliquetis	nm				
clitoridectomie	nf				
clitoridien	adj				
clitoris	nm				
clivage	nm				
cliver	v				
cloaque	nm				
clochard	nm				
cloche	nf				
cloche-pied (à)	adj				
clocher	nm				
clocher	vi				
clocheton	nm				
clochette	nf				
cloison	nf				
cloisonné	nm				
cloisonnement	nm				
cloisonner	v				
cloitre	nm				
cloitré	adj				
cloitrer	v				
clone	nm				
cloner	v				
clopin-clopant	adj				
cloporte	nm				
cloque	nf				
cloqué	adj				
cloquer	vi				
clore	v				
clos	nm				
clos	adj				
closerie	nf				
cloture	nf				
cloturer	v				
clou	nm				
clouage	nm				
clouer	v				
cloutage	nm				
clouté	adj				
clouter	v				
clown	nm				
clownerie	nf				
clownesque	adj				
club	nm				
cm	null				
Co	null				
co-	null				
coaccusé	nm				
coagulable	adj				
coagulation	nf				
coaguler	v				
coaliser	v				
coalition	nf				
coassement	nm				
coasser	vi				
coassocié	nm				
coassurance	nf				
coauteur	nm				
coaxial	adj				
cobalt	nm				
cobaye	nm				
cobol	nm				
cobra	nm				
coca	nm				
cocagne	nf				
cocaïne	nf				
cocaïnomanie	nf				
cocarde	nf				
cocasse	adj				
cocasserie	nf				
coccinelle	nf				
coccyx	nm				
coche	nm				
coche	nf				
cocher	nm				
cocher	v				
cocher	v				
cochère	adj				
cochon	nm				
cochonnaille	nf				
cochonner	v				
cochonnerie	nf				
cochonnet	nm				
cocker	nm				
cockpit	nm				
cocktail	nm				
coco	nm				
cocon	nm				
cocotier	nm				
cocotte	nf				
cocu	nm				
cocuage	nm				
cocufier	v				
codage	nm				
code	nm				
code	adj				
codeine	nf				
coder	v				
codetenteur	nm				
codetenu	nm				
codex	nm				
codicille	nm				
codification	nf				
codifier	v				
codirecteur	nm				
codirection	nf				
coedition	nf				
coefficient	nm				
coequipier	nm				
coercible	adj				
coercitif	adj				
coercition	nf				
coeur	nm				
coeur d'artichaut	nm				
coexistence	nf				
coexister	vi				
coffrage	nm				
coffre	nm				
coffre-fort	nm				
coffrer	v				
coffret	nm				
cogestion	nf				
cogitation	nf				
cogiter	vi				
cognac	nm				
cognassier	nm				
cognée	nf				
cognement	nm				
cogner	v				
cognitif	adj				
cognition	nf				
cohabitation	nf				
cohabiter	vi				
coherence	nf				
coherent	adj				
coheritier	nm				
cohesif	adj				
cohesion	nf				
cohorte	nf				
cohue	nf				
coi	adj				
coiffe	nf				
coiffer	v				
coiffeur	nm				
coiffeuse	nf				
coiffure	nf				
coin	nm				
coincer	v				
coincidence	nf				
coincident	adj				
coincider	vi				
coinculpé	nm				
coing	nm				
coit	nm				
col	nm				
col-	null				
colchique	nm				
col-de-cygne	nm				
-cole	null				
colere	nf				
colereux	nm				
colerique	adj				
colibacille	nm				
colibri	nm				
colifichet	nm				
colimaçon	nm				
colin	nm				
colin-maillard	nm				
colique	nf				
colis	nm				
colistier	nm				
colite	nf				
collaborateur	nm				
collaboration	nf				
collaborer	v				
collage	nm				
collant	nm				
collant	adj				
collapsus	nm				
collatéral	nm				
collation	nf				
colle	nf				
collecte	nf				
collecter	v				
collecteur	nm				
collectif	nm				
collection	nf				
collectionner	v				
collectionneur	nm				
collectivement	adj				
collectivité	nf				
collège	nm				
collégial	adj				
collégialité	nf				
collégien	nm				
collègue	nm				
coller	v				
collerette	nf				
collet	nm				
colleter	null				
colley	nm				
collier	nm				
colliger	v				
colline	nf				
collision	nf				
colloque	nm				
collusion	nf				
collyre	nm				
colmatage	nm				
colmater	v				
Cologne	null				
colombage	nm				
colombe	nf				
colombien	nm				
colombier	nm				
colon	nm				
colon	nm				
colon	nm				
colonel	nm				
colonial	nm				
colonie	nf				
colonisé	nm				
coloniser	v				
colonnade	nf				
colonne	nf				
colonnette	nf				
colophon	nm				
colorant	nm				
coloration	nf				
coloré	adj				
colorer	v				
coloriage	nm				
colorier	v				
coloris	nm				
coloriste	nm				
colossal	adj				
colosse	nm				
colportage	nm				
colporter	v				
colporteur	nm				
coltiner	v				
colvert	nm				
colza	nm				
com-	null				
coma	nm				
comateux	nm				
combat	nm				
combatif	adj				
combativité	nf				
combattant	nm				
combattre	v				
combien	adj				
combinaison	nf				
combiné	nm				
combiner	v				
comble  adj et	nm				
combler	v				
comburant	nm				
combustible	nm				
combustion	nf				
comedie	nf				
comedien	nm				
comedon	nm				
comestible	nm				
comete	nf				
comice	nm				
comique	nm				
comiquement	adj				
comité	nm				
commandant	nm				
commande	nf				
commandement	nm				
commander	v				
commandeur	nm				
commanditaire	nm				
commandite	nf				
commanditer	v				
commando	nm				
comme	adj				
commedia dell'arte	nf				
commémoratif	adj				
commémoration	nf				
commémorer	v				
commencement	nm				
commencer	v				
commensal	nm				
comment	nm				
commentaire	nm				
commentateur	nm				
commenter	v				
commérage	nm				
commerçant	nm				
commerce	nm				
commercer	vi				
commercial	nm				
commercialement	adj				
commercialisation	nf				
commercialiser	v				
commère	nf				
commérer	vi				
comme tel	adj				
commettre	v				
commis	nm				
commisération	nf				
commissaire	nm				
commissaire-priseur	nm				
commissariat	nm				
commission	nf				
commissionnaire	nm				
commissure	nf				
commis voyageur	nm				
commode	nf				
commotion	nf				
commotionner	v				
commuable	adj				
commuer	v				
commun	nm				
communautaire	adj				
communauté	nf				
Communauté économique européenne	null				
commune	nf				
communément	adj				
communiant	nm				
communicant	adj				
communication	nf				
communier	vi				
communion	nf				
communiqué	nm				
communiquer	v				
communisme	nm				
communiste	nm				
commutable	null				
commutateur	nm				
commutation	nf				
commuter	v				
compact	adj				
compagne	nf				
compagnie	nf				
Compagnie républicaine de sécurité	null				
compagnon	nm				
comparaison	nf				
comparaître	vi				
comparatif	adj				
comparativement	adj				
comparer	v				
comparse	nm				
compartiment	nm				
compartimenter	v				
comparution	nf				
compas	nm				
compassé	adj				
compassion	nf				
compatibilité	nf				
compatible	adj				
compatir	v				
compatissant	adj				
compatriote	nm				
compendium	nm				
compensation	nf				
compenser	v				
compère	nm				
compétence	nf				
compétent	adj				
compétiteur	nm				
compétitif	adj				
compétition	nf				
compétitivité	nf				
compilation	nf				
compiler	v				
complainte	nf				
complaire (se)	null				
complaisamment	adj				
complaisance	nf				
complaisant	adj				
complément	nm				
complémentaire	nm				
complet	nm				
complet	adj				
complètement	adj				
compléter	v				
complexe	nm				
complexé	nm				
complexer	v				
complexité	nf				
complication	nf				
complice	nm				
complicité	nf				
compliment	nm				
complimenter	v				
compliqué	adj				
compliquer	v				
complot	nm				
comploter	v				
comportement	nm				
comporter	v				
composant	nm				
composé	nm				
composer	v				
composeuse	nf				
composite	adj				
compositeur	nm				
composition	nf				
compost	nm				
compote	nf				
compotier	nm				
compréhensible	adj				
compréhensif	adj				
compréhension	nf				
comprendre	v				
compresse	nf				
compresseur	nm				
compressibilité	nf				
compression	nf				
comprimé	nm				
comprimer	v				
compris	adj				
compromettant	adj				
compromettre	v				
compromis	nm				
comptabiliser	v				
comptabilité	nf				
comptable	nm				
comptage	nm				
comptant	nm				
compte	nm				
compte-	null				
compte(-)chèques	nm				
compte courant postal	nm				
compte-fils	nm				
compte-gouttes	nm				
compter	v				
compte rendu	nm				
compte-tours	nm				
compteur	nm				
comptine	nf				
comptoir	nm				
compulser	v				
comte	nm				
comté	nm				
comtesse	nf				
con-	null				
con	nm				
concassage	nm				
concasser	v				
concave	adj				
concavité	nf				
concéder	v				
concentration	nf				
concentré	nm				
concentrer	v				
concentrique	adj				
concept	nm				
concepteur	nm				
conception	nf				
conception assistée par ordinateur	nf				
conceptualisation	nf				
conceptualiser	v				
concerner	v				
concert	nm				
concertation	nf				
concerter	v				
concertiste	nm				
concerto	nm				
concession	nf				
concevable	adj				
concevoir	v				
concierge	nm				
conciergerie	nf				
concile	nm				
conciliable	adj				
conciliabule	nm				
conciliant	adj				
conciliateur	nm				
conciliation	nf				
concilier	v				
concis	adj				
concision	nf				
concitoyen	nm				
conclave	nm				
concluant	adj				
conclure	v				
conclusion	nf				
concocter	v				
concombre	nm				
concomitance	nf				
concomitant	adj				
concordance	nf				
concordant	adj				
concorde	nf				
concorder	vi				
concourir	v				
concours	nm				
concret	nm				
concrètement	adj				
concrétion	nf				
concrétisation	nf				
concrétiser	v				
concubin	nm				
concubinage	nm				
concurremment	adj				
concurrence	nf				
concurrencer	v				
concurrentiel	adj				
concussion	nf				
condamnable	adj				
condamnation	nf				
condamné	nm				
condamner	v				
condensateur	nm				
condensation	nf				
condensé	nm				
condenser	v				
condescendance	nf				
condescendant	adj				
condescendre	v				
condiment	nm				
condisciple	nm				
condition	nf				
conditionné	adj				
conditionnel	nm				
conditionnellement	adj				
conditionnement	nm				
conditionner	v				
conditionneur	nm				
condoléances	nf				
condom	nm				
condor	nm				
conducteur	nm				
conductibilité	nf				
conductible	adj				
conduction	nf				
conduire	v				
conduit	nm				
conduite	nf				
cone	nm				
confection	nf				
confectionner	v				
confédéral	adj				
confédération	nf				
confédérer	v				
confer  mot	null				
conférence	nf				
conférencier	nm				
conférer	v				
confesse	nf				
confesser	v				
confesseur	nm				
confession	nf				
confessionnal	nm				
confessionnel	adj				
confetti	nm				
confiance	nf				
confiant	adj				
confidence	nf				
confident	nm				
confidentiel	adj				
confidentiellement	adj				
confier	v				
configuration	nf				
confiné	adj				
confinement	nm				
confiner	v				
confins	nm				
confire	v				
confirmation	nf				
confirmer	v				
confiscation	nf				
confiserie	nf				
confiseur	nm				
confisquer	v				
confit	nm				
confiture	nf				
conflagration	nf				
conflictuel	adj				
conflit	nm				
confondant	adj				
confondre	v				
conformation	nf				
conforme	adj				
conformément	adj				
conformer	v				
conformisme	nm				
conformiste	nm				
conformité	nf				
confort	nm				
confortable	adj				
confortablement	adj				
conforter	v				
confrère	nm				
confrérie	nf				
confrontation	nf				
confronter	v				
confus	adj				
confusion	nf				
congé	nm				
congédiement	nm				
congédier	v				
congélateur	nm				
congélation	nf				
congeler	v				
congénère	nm				
congénital	adj				
congénitalement	adj				
congère	nf				
congestion	nf				
congestionner	v				
conglomérat	nm				
congolais	nm				
congratuler	v				
congrégation	nf				
congrès	nm				
congressiste	nm				
congru	adj				
conifère	nm				
conique	adj				
conjectural	adj				
conjecture	nf				
conjecturer	v				
conjoint	nm				
conjointement	adj				
conjonctif	adj				
conjonction	nf				
conjonctive	nf				
conjonctivite	nf				
conjoncture	nf				
conjugaison	nf				
conjugal	adj				
conjugalement	adj				
conjugué	adj				
conjuguer	v				
conjuration	nf				
conjuré	nm				
conjurer	v				
connaissance	nf				
connaissement	nm				
connaisseur	nm				
connaître	v				
connecter	v				
connecteur	nm				
connerie	nf				
connexe	adj				
connexion	nf				
connivence	nf				
connotation	nf				
connu	adj				
conquérant	nm				
conquérir	v				
conquête	nf				
conquis	adj				
consacré	adj				
consacrer	v				
consanguin	adj				
consanguinité	nf				
consciemment	adj				
conscience	nf				
consciencieusement	adj				
consciencieux	adj				
conscient	nm				
consécration	nf				
consécutif	adj				
consécutivement	adj				
conseil	nm				
conseil d'administration	nm				
conseil juridique	nm				
conseiller	v				
conseiller	nm				
conseiller juridique	nm				
consensus	nm				
consentant	adj				
consentement	nm				
consentir	v				
conséquemment	adj				
conséquence	nf				
conséquent	adj				
conservateur	nm				
conservateur	adj				
conservation	nf				
conservatisme	nm				
conservatoire	nm				
conserve	nf				
conservé	adj				
conserver	v				
considérable	adj				
considérablement	adj				
considération	nf				
considérer	v				
consignation	nf				
consigne	nf				
consigner	v				
consistance	nf				
consistant	adj				
consister	v				
consoeur	nf				
consolation	nf				
console	nf				
consoler	v				
consolidation	nf				
consolider	v				
consommateur	nm				
consommation	nf				
consommé	nm				
consommer	v				
consonance	nf				
consonne	nf				
consort	nm				
consortium	nm				
conspirateur	nm				
conspiration	nf				
conspirer	v				
conspuer	v				
constamment	adj				
constance	nf				
constant	nm				
constat	nm				
constatation	nf				
constater	v				
constellation	nf				
consteller	v				
consternation	nf				
consterner	v				
constipation	nf				
constipé	nm				
constituant	adj				
constitué	adj				
constituer	v				
constitutif	adj				
constitution	nf				
constitutionnel	adj				
constitutionnellement	adj				
constricteur	adj				
constructeur	nm				
constructif	adj				
construction	nf				
construire	v				
consul	nm				
consulaire	adj				
consulat	nm				
consultant	nm				
consultatif	adj				
consultation	nf				
consulter	v				
consumer	v				
consumérisme	nm				
contact	nm				
contacter	v				
contagieux	nm				
contagion	nf				
container	nm				
contamination	nf				
contaminer	v				
conte	nm				
contemplation	nf				
contempler	v				
contemporain	nm				
contenance	nf				
contenant	nm				
conteneur	nm				
contenir	v				
content	nm				
contentement	nm				
contenter	v				
contentieux	nm				
contenu	nm				
conter	v				
contestataire	nm				
contestation	nf				
contester	v				
conteste (sans)	adj				
conteur	nm				
contexte	nm				
contigu	adj				
contiguïté	nf				
continence	nf				
continent	nm				
continental	adj				
contingence	nf				
contingent	nm				
contingent	adj				
contingentement	nm				
contingenter	v				
continu	nm				
continuation	nf				
continuel	adj				
continuellement	adj				
continuer	v				
continuité	nf				
continûment	adj				
contondant	adj				
contorsion	nf				
contorsionner (se)	null				
contorsionniste	nm				
contour	nm				
contourner	v				
contra-	null				
contraceptif	nm				
contraception	nf				
contractant	nm				
contracter	v				
contractile	adj				
contractilité	nf				
contraction	nf				
contractuel	nm				
contradiction	nf				
contradictoire	adj				
contraindre	v				
contraint	nf				
contraire	nm				
contrairement	adj				
contralto	nm				
contrarier	v				
contrariété	nf				
contrario (a)	null				
contrastant	adj				
contraste	nm				
contraster	v				
contrat	nm				
contravention	nf				
contravis	nm				
contre	nm				
contre-	null				
contre-alizé	nm				
contre-allée	nf				
contre-amiral	nm				
contre-appel	nm				
contre-assurance	nf				
contre-attaque	nf				
contre-attaquer	v				
contrebalancer	v				
contrebande	nf				
contrebandier	nm				
contrebas (en)	adj				
contrebasse	nf				
contrebasse	nm				
contrebuter	v				
contrecarrer	v				
contrechamp	nm				
contre-chant	nm				
contrecoeur (à)	adj				
contrecoup	nm				
contre-courant	nm				
contre-culture	nf				
contredanse	nf				
contredire	v				
contredit (sans)	adj				
contrée	nf				
contre-écrou	nm				
contre-enquête	nf				
contre-épreuve	nf				
contre-espionnage	nm				
contre-exemple	nm				
contre-expertise	nf				
contrefaçon	nf				
contrefaire	v				
contrefait	adj				
contre-fenêtre	nf				
contre-fer	nm				
contre-feu	nm				
contrefiche	nf				
contreficher (se)	null				
contre-fil	nm				
contre-filet	nm				
contrefort	nm				
contrefoutre (se)	null				
contre-fugue	nf				
contre-haut (en)	adj				
contre-indication	nf				
contre-indiqué	adj				
contre-indiquer	v				
contre-interrogatoire	nm				
contre-jour	nm				
contre-lettre	nf				
contremaître	nm				
contre-manifestant	nm				
contre-manifestation	nf				
contremarche	nf				
contremarque	nf				
contre-mesure	nf				
contre-offensive	nf				
contrepartie	nf				
contre-pente	nf				
contre-performance	nf				
contrepèterie	nf				
contre-pied	nm				
contreplacage	nm				
contreplaqué	nm				
contre-plongée	nf				
contrepoids	nm				
contre-poil (à)	adj				
contrepoint	nm				
contrepoison	nm				
contre-porte	nf				
contre-projet	nm				
contre-proposition	nf				
contre-publicité	nf				
contrer	v				
contre remboursement	null				
contre-révolution	nf				
contre-révolutionnaire	nm				
contreseing	nm				
contresens	nm				
contresignataire	nm				
contresigner	v				
contretemps	nm				
contre-torpilleur	nm				
contre-transfert	nm				
contrevenant	nm				
contrevenir	v				
contrevent	nm				
contrevérité	nf				
contre-voie (à)	adj				
contribuable	nm				
contribuer	v				
contribution	nf				
contrit	adj				
contrition	nf				
contrôlable	adj				
contrôle	nm				
contrôler	v				
contrôleur	nm				
contrordre	nm				
controverse	nf				
controversé	adj				
contumace	nf				
contusion	nf				
conurbation	nf				
convaincant	adj				
convaincre	v				
convaincu	adj				
convalescence	nf				
convalescent	nm				
convection	nf				
convenable	adj				
convenablement	adj				
convenance	nf				
convenir	v				
convention	nf				
conventionné	adj				
conventionnel	adj				
conventuel	adj				
convenu	adj				
convergence	nf				
convergent	adj				
converger	vi				
conversation	nf				
conversationnel	adj				
converser	vi				
conversion	nf				
convertibilité	nf				
convertible	nm				
convertir	v				
convertisseur	nm				
convexe	adj				
convexion	null				
conviction	nf				
convier	v				
convive	nm				
convivial	adj				
convivialité	nf				
convocation	nf				
convoi	nm				
convoiter	v				
convoitise	nf				
convoler	vi				
convoquer	v				
convoyer	v				
convoyeur	nm				
convulser	v				
convulsif	adj				
convulsion	nf				
convulsivement	adj				
coopérateur	nm				
coopératif	adj				
coopération	nf				
coopérative	nf				
coopérer	v				
coordinateur	null				
coordination	nf				
coordonnateur	nm				
coordonné	nm				
coordonner	v				
copain	nm				
copeau	nm				
copiage	nm				
copie	nf				
copie conforme	null				
copier	v				
copieur	nm				
copieusement	adj				
copieux	adj				
copilote	nm				
copine	nf				
copiste	nm				
copropriétaire	nm				
copropriété	nf				
copulation	nf				
copule	nf				
copyright	nm				
coq	nm				
coq-à-l'âne	nm				
coque	nf				
coquelet	nm				
coquelicot	nm				
coqueluche	nf				
coqueret	null				
coquet	nm				
coquetier	nm				
coquettement	adj				
coquetterie	nf				
coquillage	nm				
coquille	nf				
coquille Saint-Jacques	nf				
coquillette	nf				
coquin	nm				
coquinerie	nf				
cor	nm				
corail	nm				
corail	nm				
coran	nm				
coranique	adj				
corbeau	nm				
corbeille	nf				
corbillard	nm				
cordage	nm				
corde	nf				
cordeau	nm				
cordée	nf				
cordelette	nf				
cordelière	nf				
corder	v				
cordial	nm				
cordialement	adj				
cordialité	nf				
cordillère	nf				
cordoba	nm				
cordon	nm				
cordon-bleu	nm				
cordonnerie	nf				
cordonnet	nm				
cordonnier	nm				
coreen	nm				
coriace	adj				
coriandre	nf				
cormier	nm				
cormoran	nm				
cornac	nm				
cornaline	nf				
corne	nf				
cornée	nf				
cornéen	adj				
corneille	nf				
cornélien	adj				
cornemuse	nf				
corner	v				
cornet	nm				
cornette	nf				
corniche	nf				
cornichon	nm				
cornu	adj				
cornue	nf				
corollaire	nm				
corolle	nf				
coronaire	adj				
coronarien	adj				
coroner	nm				
corporatif	adj				
corporation	nf				
corporel	adj				
corps	nm				
corpulence	nf				
corpulent	adj				
corpus	nm				
corpuscule	nm				
corral	nm				
correct	adj				
correcteur	nm				
correcteur-réviseur	nm				
correctif	nm				
correction	nf				
correctionnel	adj				
corrélatif	nm				
corrélation	nf				
correspondance	nf				
correspondancier	nm				
correspondant	nm				
correspondre	v				
corrida	nf				
corridor	nm				
corrigé	nm				
corriger	v				
corroboration	nf				
corroborer	v				
corroder	v				
corrompre	v				
corrompu	adj				
